Major ID,Required Course ID,Required Bucket ID,Required Course,Required Course Name,Required Course Number of Hours,Required Bucket Number of Hours,Required Bucket Name,List of Courses in Bucket
7,1,,,,,,,
7,2,,,,,,,
7,3,,,,,,,
7,4,,,,,,,
7,5,,,,,,,
7,6,,,,,,,
7,7,,,,,,,
7,8,,,,,,,
7,9,,,,,,,
7,10,,,,,,,
7,11,,,,,,,
7,12,,,,,,,
7,13,,,,,,,
7,14,,,,,,,
7,15,,,,,,,
7,16,,,,,,,
7,17,,,,,,,
7,18,,,,,,,
7,19,,,,,,,
7,20,,,,,,,
7,21,,,,,,,
7,22,,,,,,,
7,23,,,,,,,
7,24,,,,,,,
7,69,,,,,,,
7,70,,,,,,,
7,,18,,,,,,
7,,74,,,,,,
7,,75,,,,,,
7,,,,,,,,
7,,,,,,,,
7,,,,,,,,
7,,,,,,,,
7,,,,,,,,
7,,,,,,,,
7,,,,,,,,
7,,,,,,,,
7,,,,,,,,
7,,,,,,,,
7,,,,,,,,
7,,,,,,,,
7,,,,,,,,
7,,,,,,,,
7,,,,,,,,
7,,,,,,,,
7,,,,,,,,
7,,,,,,,,
7,,,,,,,,
7,,,,,,,,
7,,,,,,,,
7,,,,,,,,
7,,,,,,,,
