Major ID,Required Course ID,Required Bucket ID,Required Course,Required Course Name,Required Course Number of Hours,Required Bucket Number of Hours,Required Bucket Name,List of Courses in Bucket,
6,1,,,,,,,,
6,2,,,,,,,,
6,3,,,,,,,,
6,4,,,,,,,,
6,5,,,,,,,,
6,6,,,,,,,,
6,7,,,,,,,,
6,11,,,,,,,,
6,37,,,,,,,,
6,18,,,,,,,,
6,71,,,,,,,,
6,72,,,,,,,,
6,73,,,,,,,,
6,74,,,,,,,,
6,75,,,,,,,,
6,76,,,,,,,,
6,77,,,,,,,,
6,78,,,,,,,,
6,79,,,,,,,,
6,80,,,,,,,,
6,81,,,,,,,,
6,82,,,,,,,,
6,83,,,,,,,,
6,84,,,,,,,,
6,85,,,,,,,,
6,86,,,,,,,,
6,87,,,,,,,,
6,88,,,,,,,,
6,89,,,,,,,,
6,90,,,,,,,,
6,91,,,,,,,,
6,92,,,,,,,,
6,93,,,,,,,,
6,94,,,,,,,,
6,95,,,,,,,,
6,96,,,,,,,,
6,,49,,,,,,,
6,,22,,,,,,,
6,,78,,,,,,,
